"pppoe_username","isolation_date"
"HOSEN@HARMONI2","2026-07-10"
"IRFAN@ANGSANA","2026-07-23"
"IMRON@KEPUH","2026-07-18"
"TES","2026-07-03"
"MUH@SUKAMANDI","2026-07-26"
"FATMAWATI@PURIDELTA","2026-07-24"
"HANA@KASUNYATAN","2026-07-10"
"LSM@AHYAR","2026-07-22"
"AYU2@ANGSANA2","2026-07-16"
"KLIK@PLAYSTATION","2026-07-26"
"AGUS@TEGALTANJUNG","2026-07-13"
"ALI@GEMPOL","2026-07-06"
"KURNIA@PURIDELTA","2026-07-07"
"Fasumcctv@Angsana2","2026-07-07"
"Latunufus@Pai2","2026-07-11"
"SAIDAH@ANGSANA1","2026-07-13"
"YURYANI@GEMPOL","2026-07-30"
"TRIONO@TERATE","2026-07-25"
"WAHYU@KARANGANYAR","2026-07-25"
"YENI@PAMENGKANG","2026-07-21"
"NUR@TEGALTANJUNG","2026-07-13"
"TEGUH@SEDIAH","2026-07-14"
"ASRI@KEPUH","2026-07-16"
"sari991@ans","2026-07-18"
"rizky3817@ans","2026-07-04"
"rina3561@ans","2026-07-04"
"Romala@Ans","2026-07-13"
"eko2270@ans","2026-07-10"
"surya3818@ans","2026-07-23"
"YULI@KEBAROSAN","2026-07-13"
"EDY@KEDUNGCINDE","2026-07-10"
"PURNOMO@KIJAUD","2026-07-28"
"SUSI@PURIDELTA","2026-07-15"
"EFFENDI@HARMONI2","2026-07-14"
"LITA@PAMENGKANG","2026-07-24"
"ANTON@PERMATA","2026-07-11"
"REGINA@KIJAUD","2026-07-20"
"HIDAYAT@TEGALDUREN","2026-07-12"
"INDRAWAN@KELUNCING","2026-07-28"
"ESTER@PIK","2026-07-10"
"KURNIAWATI@ANGSANA1","2026-07-23"
"DARMA@PURIDELTA","2026-07-13"
"FEBRIANTI@PIKDELTA","2026-07-10"
"MIRA@PIK","2026-07-25"
"SONIA@ans.net","2026-07-18"
"RENI@KEBAROSAN","2026-07-14"
"ENDANG@TERATE","2026-07-20"
"BAYU@ANGSANA1","2026-07-24"
"WIDODO@PERMATA","2026-07-15"
"KUMALA@KARANGANYAR","2026-07-09"
"DHARMA@SUKAMANDI","2026-07-15"
"ZAINI@CABLAS","2026-07-10"
"AMIN@HARMONI2","2026-07-12"
"RIANA@CIPUTRI","2026-07-27"
"ARINI@KARANGANYAR","2026-07-21"
"AMELIA@SUKAMANDI","2026-07-16"
"PUTRO@PURIDELTA","2026-07-25"
"SALIM@SAWAHLUHUR","2026-07-20"
"HARI@Pai2","2026-07-08"
"IRMA@TEGALTANJUNG","2026-07-27"
"HASAN@KALIPANGPANG","2026-07-27"
"HIKMAH@LENGKONG","2026-07-12"
"EMI@CABLAS","2026-07-19"
"ERNA@SQUATER","2026-07-11"
"JULI@CABLAS","2026-07-11"
"TEUKU@KEBAROSAN","2026-07-11"
"ANDRIANI@ANGSOKA","2026-07-12"
"UMAY@KESATRIAN","2026-07-17"
"NURAINI@PG","2026-07-10"
"RIZKY@PERMATA","2026-07-17"
"TANTO@TEGALDUREN","2026-07-28"
"KAMIL@HARMONI2","2026-07-17"
"ANDRIAN@BTM","2026-07-22"
"ELI@KEBASIRAN","2026-07-16"
"SIRAIT@TEGALTANJUNG","2026-07-19"
"OKTVIANA@KASUBAN","2026-07-19"
"BAGUS@GEMPOL","2026-07-10"
"ADITYA@PURIDELTA","2026-07-24"
"YENNY@ANGSANA","2026-07-12"
"EKI@KALIPANGPANG","2026-07-23"
"LUKMAN@CANGKRING","2026-07-08"
"ROHMAT@Pai2","2026-07-22"
"FITRIANI@CIPUTRI","2026-07-22"
"ISNAINI@LAMONGAN","2026-07-27"
"WIRYA@ANGSANA2","2026-07-14"
"SITTI@ans.net","2026-07-22"
"RATRI@ANGSOKA","2026-07-16"
"ABDULLAH@ambon","2026-07-21"
"RIFKY@PAMENGKANG","2026-07-26"
"VERI@CIKEDUNG","2026-07-22"
"DIYAH@Pai2","2026-07-26"
"VIONA@ANGSANA1","2026-07-25"
"SADEWA@GANTERAN","2026-07-28"
"ADE@HARMONI2","2026-07-27"
"AGUSTIN@SQUATER","2026-07-10"
"ANASTASIA@PIKDELTA","2026-07-15"
"UMAR@GANTERAN","2026-07-28"
"YUANITA@Pai2","2026-07-15"
"SINGGIH@KROYA","2026-07-11"
"PARTO@KEBAROSAN","2026-07-23"
"ANWAR@SQUATER","2026-07-19"
"SAHAT@PADEK","2026-07-26"
"YUNI@DELTAALI","2026-07-22"
"MOHAMAD@SUKAMANDI","2026-07-12"
"AZIZAH@KEDUNGCINDE","2026-07-26"
"YOHANA@KEBAROSAN","2026-07-23"
"HUSNI@ans.net","2026-07-28"
"ERNA@CENGKOK","2026-07-17"
"GUNTUR@PIK","2026-07-28"
"DENDI@CIKEDUNG","2026-07-14"
"FRISKA@ANGSANA","2026-07-25"
"SETYO@KEBASIRAN","2026-07-27"
"HENDI@DELTA","2026-07-11"
"ATIK@KELUNCING","2026-07-27"
"ROCHMAT@PEGADINGAN","2026-07-20"
"SUJATMIKO@ANGSOKA","2026-07-25"
"NADINE@KESATRIAN","2026-07-14"
"SURYANI@DELTAALI","2026-07-19"
"AGUNG@TONJONG","2026-07-14"
"MUNIR@GEMPOL","2026-07-28"
"LARAS@LENGKONG","2026-07-25"
"LUSIANA@KROYA","2026-07-10"
"YAFI@HARMONI2","2026-07-22"
"DARMAWAN@TEGALDUREN","2026-07-25"
"RAMA@KALIPANGPANG","2026-07-19"
"OPAN@GEMPOL","2026-07-08"
"KOMANG@ANGSANA","2026-07-20"
"AKHMAD@TONJONG","2026-07-16"
"ARIYANTO@KEDUNGCINDE","2026-07-26"
"EVY@GIRILAYA","2026-07-16"
"RIKA@CIBELUT","2026-07-22"
"VERA@PEGADINGAN","2026-07-21"
"GUNAWAN@BTM","2026-07-25"
"DHARMA@TERATE","2026-07-21"
"LUSI@PURIDELTA","2026-07-21"
"SUJATMIKO@CANGKRING","2026-07-23"
"RIAN@PEGADINGAN","2026-07-10"
"BUDI@CIPUTRI","2026-07-23"
"TOMI@CILIA","2026-07-20"
"JONI@TERATE","2026-07-20"
"TEUKU@DELTA","2026-07-25"
"SARAS@ANGSANA2","2026-07-20"
"DOLI@SINDANGJAYA","2026-07-28"
"ROHMAT@ANGSANA1","2026-07-13"
"SISKA@ANGSOKA","2026-07-12"
"MURTI@ANGSANA2","2026-07-23"
"SUSILOWATI@SAWAHLUHUR","2026-07-27"
"SUKMAWATI@TEGALTANJUNG","2026-07-21"
"RENY@ans.net","2026-07-15"
"SETIA@CIPUTRI","2026-07-10"
"MUNIR@KEPUH","2026-07-19"
"AMELIA@ANGSANA","2026-07-10"
"APRILIA@KASUBAN","2026-07-18"
"REGINA@SUKAMANDI","2026-07-12"
"YAYUK@TEGALDUREN","2026-07-08"
"FRISKA@BTM","2026-07-17"
"DITA@TEGALTANJUNG","2026-07-22"
"JULIO@KEBAROSAN","2026-07-18"
"NI@KELUNCING","2026-07-16"
"RONAL@CANGKRING","2026-07-09"
"RINA@ANGSOKA","2026-07-28"
"FADLI@KROYA","2026-07-17"
"KRISTINA@CABLAS","2026-07-14"
"TULUS@KEPUH","2026-07-27"
"SUPRIANTO@PEGADINGAN","2026-07-19"
"ADITYA@GIRILAYA","2026-07-16"
"AHMAD@KARANGANYAR","2026-07-26"
"MUTIA@KASUBAN","2026-07-21"
"ADITYO@PEGADINGAN","2026-07-10"
"PALUPI@SQUATER","2026-07-18"
"RUSLAN@PEGADINGAN","2026-07-26"
"TEUKU@CABLAS","2026-07-09"
"LENY@CIKEDUNG","2026-07-13"
"THERESIA@CILIA","2026-07-10"
"PUTRI@TEGALDUREN","2026-07-13"
"RIZKI@SUKAMANDI","2026-07-16"
"ANGGIT@TONJONG","2026-07-16"
"NASUTION@TONJONG","2026-07-12"
"MITA@JAMBLANG","2026-07-26"
"FAUZI@ANGSANA","2026-07-17"
"YENNI@ambon","2026-07-18"
"KARINA@CENGKOK","2026-07-24"
"YADI@KEDUNGCINDE","2026-07-24"
"YAFI@KIJAUD","2026-07-19"
"MAULANA@GEMPOL","2026-07-26"
"ANISA@CILIA","2026-07-11"
"LARASATI@PIKDELTA","2026-07-10"
"RAFLI@PIK","2026-07-11"
"RISKY@ANGSANA2","2026-07-25"
"LATIF@PIKDELTA","2026-07-22"
"TOFIK@PEGADINGAN","2026-07-19"
"YUDI@KROYA","2026-07-20"
"SUDIRMAN@TERATE","2026-07-18"
"PURWANTO@PERMATA","2026-07-10"
"UMI@PIK","2026-07-10"
"NELLY@KALIPANGPANG","2026-07-09"
"SEPTIANA@LENGKONG","2026-07-23"
"HAKIM@CABLAS","2026-07-24"
"ENY@CANGKRING","2026-07-14"
"BASKORO@GEMPOL","2026-07-23"
"NIA@KASUBAN","2026-07-13"
"OKTA@PERMATA","2026-07-17"
"RIKI@KROYA","2026-07-12"
"SAFIRA@ANGSOKA","2026-07-18"
"SUNARYA@CANGKRING","2026-07-23"
"AZIZAH@CABLAS","2026-07-24"
"SYAMSUL@CANGKRING","2026-07-15"
"WAHYUDI@PADEK","2026-07-14"
"AHMAD@ANGSANA1","2026-07-25"
"ANIS@PAMENGKANG","2026-07-25"
"AFRIZAL@PEGADINGAN","2026-07-13"
"RESTU@PURIDELTA","2026-07-10"
"HENDRI@GANTERAN","2026-07-08"
"WINDY@KIJAUD","2026-07-15"
"WINDI@CANGKRING","2026-07-25"
"FRISKA@PG","2026-07-15"
"DANU@GEMPOL","2026-07-18"
"AYUNINGTYAS@PERMATA","2026-07-15"
"RESTI@SINDANGJAYA","2026-07-15"
"ELLY@ambon","2026-07-24"
"RIDHA@JAMBLANG","2026-07-25"
"SUPARDI@KEBASIRAN","2026-07-22"
"PRIMA@HARMONI2","2026-07-19"
"ARIEF@PADEK","2026-07-15"
"SOLIHIN@DELTAALI","2026-07-27"
"HABIB@GEMPOL","2026-07-25"
"GEDE@ambon","2026-07-26"
"SYAIFUL@KEBAROSAN","2026-07-22"
"SETYAWAN@SQUATER","2026-07-28"
"HENDRA@PIK","2026-07-20"
"DIYAH@CIKEDUNG","2026-07-11"
"LIA@Pai2","2026-07-16"
"ARUM@CILIA","2026-07-16"
"TOHA@KESATRIAN","2026-07-18"
"IRWAN@GEMPOL","2026-07-11"
"ANGELINA@DELTA","2026-07-19"
"MAGDALENA@TEGALDUREN","2026-07-20"
"RITA@KEDUNGCINDE","2026-07-23"
"SAMUEL@KEPUH","2026-07-23"
"PRADIPTA@LENGKONG","2026-07-15"
"WIWIN@PEGADINGAN","2026-07-26"
"YOHANA@KIJAUD","2026-07-28"
"WIJAYA@ANGSANA1","2026-07-26"
"ILHAM@PURIDELTA","2026-07-25"
"RIZAL@KARANGANYAR","2026-07-08"
"ADAM@ANGSOKA","2026-07-10"
"SAPUTRI@KROYA","2026-07-14"
"SUCIPTO@KEPUH","2026-07-17"
"RUTH@TONJONG","2026-07-12"
"AZHARI@PG","2026-07-17"
"ELISABETH@ANGSOKA","2026-07-26"
"DESTY@PERMATA","2026-07-27"
"ANIK@GIRILAYA","2026-07-25"
"KRISTINA@PERMATA","2026-07-13"
"NANDANG@TONJONG","2026-07-11"
"RIA@PAMENGKANG","2026-07-16"
"MITA@PERMATA","2026-07-25"
"MEI@KEPUH","2026-07-27"
"MOH.@PG","2026-07-27"
"DHANI@TEGALDUREN","2026-07-10"
"YANA@PIK","2026-07-26"
"SEPTIANA@PURIDELTA","2026-07-16"
"RACHMAWATI@PIKDELTA","2026-07-17"
"OKTVIANA@ans.net","2026-07-13"
"UBAIDILLAH@PURIDELTA","2026-07-27"
"TOFAN@ans.net","2026-07-09"
"SINAGA@KARANGANYAR","2026-07-11"
"VALEN@TONJONG","2026-07-11"
"PRAMITA@CANGKRING","2026-07-27"
"SETIADI@KROYA","2026-07-15"
"KIKI@ANGSANA1","2026-07-19"
"MALIK@KIJAUD","2026-07-13"
"NORMA@HARMONI2","2026-07-14"
"CAHYADI@SUKAMANDI","2026-07-16"
"PANJI@CIBELUT","2026-07-23"
"PANJI@BTM","2026-07-27"
